7	[0.030603551758192602, [6]]
8	[0.1443732044757967, [0, 1, 2, 12, 13, 15]]
9	[0.03569682980458627, [13]]
2	[0.049803017635990134, [4, 8]]
3	[0.06818004733016528, [6, 10, 14]]
10	[0.06720326913312744, [3, 4, 14]]
15	[0.07057403646625554, [6, 8, 12]]
0	[0.030353949184486823, [8]]
1	[0.07833903277824031, [5, 6, 8]]
5	[0.03209693961276083, [1]]
6	[0.09742342817750663, [1, 3, 7, 15]]
13	[0.06069640315889604, [8, 9]]
14	[0.08722615819345378, [3, 4, 10, 12]]
4	[0.0686437086846023, [2, 10, 14]]
11	[0.009900990099009903, []]
12	[0.06888543350692938, [8, 14, 15]]
