3940	[4.765186581831884e-05, []]
3941	[4.765186581831884e-05, [3942]]
3942	[0.00015695258849425265, []]
3943	[4.765186581831884e-05, [608]]
3944	[4.765186581831884e-05, [608]]
3945	[4.765186581831884e-05, [3946, 4266]]
3946	[0.00038176527262632527, []]
3947	[4.765186581831884e-05, [2746, 2958, 3946]]
3948	[4.765186581831884e-05, [2134, 2565, 2619, 2646, 3144, 3180, 3260, 3291, 3631, 3645, 3720, 3787, 3812, 3946, 3970, 4013, 4110, 4117, 4138, 4201, 4233, 4234, 4247, 4263, 4297, 8294]]
3949	[6.601286337479641e-05, [827, 1239, 2210, 2384, 2506, 2595, 2653, 2655, 2746, 2859, 2958, 3258, 3260, 3562, 3717, 3720, 3800, 3812, 3843, 3967, 3970, 3980, 4011, 4021, 4043, 4055, 4058, 4162, 4179, 8294]]
395	[4.765186581831884e-05, [35, 282, 321, 396, 967, 1357, 1384, 1389, 1418, 1506, 1593, 1919, 1956, 2398, 2851, 2963, 3634, 4037, 4175, 4179, 4341, 4709, 5028, 5199, 5479, 5524, 5563, 5596, 5818, 5872, 6227, 6869, 6904, 6934, 6976, 7115, 7414, 7512, 7553, 7795, 7890, 8163]]
3950	[4.765186581831884e-05, []]
3951	[4.765186581831884e-05, []]
3952	[4.765186581831884e-05, [3024]]
3953	[4.765186581831884e-05, [3024]]
3954	[4.765186581831884e-05, [3024, 3260]]
3955	[4.765186581831884e-05, [3024, 3720, 4233]]
3956	[0.0002580490872768504, [15, 737, 1157, 1307, 1549, 1990, 2066, 2145, 2160, 2276, 2364, 2398, 2535, 2576, 2760, 2859, 2900, 2917, 3024, 3089, 3180, 3276, 3320, 3439, 3452, 3454, 3455, 3456, 3461, 3537, 3568, 3643, 3645, 3898, 3958, 3971, 3976, 3980, 4011, 4024, 4031, 4044, 4072, 4098, 4124, 4138, 4219, 4261, 4290, 4310, 4323, 4335, 4365, 4384, 4402, 4463, 4468, 4528, 4531, 4578, 4795, 4814, 4831, 4983, 5022, 5100, 5130, 5210, 5321, 5412, 5484, 5499, 5539, 5697, 5775, 5804, 5871, 5886, 6337, 6505, 6570, 6833, 7063, 7632, 7651]]
3957	[4.765186581831884e-05, [3970]]
3958	[0.0004856972130479274, [2619, 3897, 4072, 4099, 4269, 4485, 4531, 4689, 5301, 5605, 5928, 6123, 6554, 6774, 7908]]
3959	[4.765186581831884e-05, [2535, 2619]]
396	[0.00010847903976901876, []]
3960	[4.765186581831884e-05, [15, 608, 1473, 2398, 2516, 2535, 2619, 2831, 3806, 4041, 4099, 4191, 4453, 5072, 5254, 5327, 5392, 5412, 5423, 5484, 5543, 5640, 6560]]
3961	[4.765186581831884e-05, [1549, 2210, 2252, 2535, 2595, 2619, 2655, 2746, 3180, 3800, 3970, 4011, 4021, 4024, 4103, 4110]]
3962	[0.0007895476270627229, [2859, 3260, 4557, 4886]]
3963	[4.765186581831884e-05, [3260]]
3964	[4.765186581831884e-05, [3260]]
3965	[4.765186581831884e-05, [737, 825, 1549, 1688, 1769, 2134, 2144, 2328, 2398, 2499, 2535, 2576, 2646, 2653, 2774, 2790, 3027, 3073, 3260, 3297, 3321, 3334, 3352, 3394, 3454, 3463, 3568, 3615, 3645, 3752, 3969, 3976, 4065, 4071, 4191, 4269, 4299, 4578, 4687, 4827, 4875, 5022, 5079, 5130, 5178, 5233, 5288, 5321, 5437, 5524, 5527, 5605, 5802, 5819, 5822, 5902, 5932, 5947, 6006, 6043, 6044, 6124, 6148, 6156, 6174, 6270, 6306, 6344, 6414, 6496, 6552, 6566, 6832, 6976, 7101, 7225, 7422, 7620, 7632, 7707, 7788, 7809, 7961, 8134, 8168, 8174, 8209, 8237, 8294]]
3966	[4.765186581831884e-05, [3967]]
3967	[0.00023195874103514556, []]
3968	[4.765186581831884e-05, [3970]]
3969	[0.00014969897101315126, [15, 72, 737, 1305, 1385, 1403, 1680, 1729, 1799, 2240, 2328, 2354, 2433, 2535, 2565, 2689, 2774, 2785, 2790, 2822, 2940, 3103, 3125, 3144, 3291, 3334, 3346, 3352, 3452, 3456, 3537, 3607, 3615, 3635, 3661, 3785, 3835, 3854, 3897, 3910, 3970, 4037, 4040, 4138, 4191, 4261, 4266, 4323, 4331, 4480, 4485, 4536, 4587, 4645, 4662, 4666, 4706, 4712, 4719, 4780, 4792, 4796, 4809, 4875, 4940, 4962, 5012, 5026, 5058, 5182, 5231, 5323, 5351, 5412, 5484, 5969, 6481, 6496, 6665, 6715, 6721, 6860, 7040, 7062, 7214, 7316, 7553, 7620, 7624, 7833]]
397	[4.765186581831884e-05, [402]]
3970	[0.0004699979396229636, []]
3971	[7.162585968716457e-05, [2535, 3192, 3458, 3661, 4098, 5123, 5524]]
3972	[4.765186581831884e-05, []]
3973	[0.00011304797847762648, [1140, 2134, 2328, 2859, 2900, 2932, 3192, 3276, 3291, 3394, 3562, 3615, 3717, 3787, 3813, 3898, 4055, 4138, 4162, 4179, 4181, 4191, 4201, 4216, 4256, 4263, 4269, 4272, 4289, 4290, 4303, 4311, 4331]]
3974	[6.350647005520578e-05, []]
3975	[4.765186581831884e-05, []]
